Name,label,start,end,score,need_cut,more
v_fight_00192_t1,5,21,42,110,,
v_fight_00201_t0,0,0,10,0,,
v_fight_00215_t0,7,9,25,0,,
v_fight_00217_t0,0,0,12,0,,
v_fight_00217_t0,0,59,1:08,0,,o
v_fight_00226_t0,7,4,14,0,,
v_fight_00233_t0,0,0,10,0,,
v_fight_00234_t0,0,2,15,0,,
v_fight_00235_t0,0,0,10,0,,
v_fight_00244_t0,7,15,25,0,,
v_fight_00247_t0,7,15,30,0,,
v_fight_00248_t0,7,0,11,0,,
v_fight_00265_t1,2,1,17,20,,
v_fight_00268_t1,1,0,10,10,,
v_fight_00268_t1,2,40,49,50,,
v_fight_00268_t1,2,1:25,1:35,110,,
v_fight_00274_t0,7,0,10,0,,
v_fight_00276_t0,7,0,8,0,,
v_fight_00277_t0,0,10,17,0,o,
v_fight_00277_t0,0,1:14,1:24,0,o,
v_fight_00278_t1,6,9,15,160,,
v_fight_00279_t0,0,0,10,0,,
v_fight_00294_t0,7,5,15,0,,
v_fight_00295_t0,0,0,10,0,,
v_fight_00299_t0,7,1,11,0,,
v_fight_00305_t1,2,7,20,60,,
v_fight_00308_t0,7,2,11,0,,
v_fight_00309_t1,2,0,10,20,,
v_fight_00310_t0,0,0,6,0,,
v_fight_00312_t0,7,0,5,0,,
v_fight_00318_t0,7,0,10,0,,
v_fight_00326_t0,7,1,12,0,,
v_fight_00328_t0,7,2,15,0,,
v_fight_00332_t0,7,22,32,0,,
v_fight_00341_t0,7,2,15,0,,
v_fight_00343_t0,5,10,20,100,,
v_fight_00348_t0,0,0,10,0,,
v_fight_00358_t0,7,0,10,0,,
v_fight_00367_t1,5,0,15,80,,
v_fight_00377_t0,7,0,15,0,,
v_fight_00385_t0,7,2,12,0,,
v_fight_00386_t0,0,3,13,0,,
v_fight_00392_t0,7,12,24,0,,
v_fight_00396_t0,0,0,12,0,,
v_fight_00402_t0,7,0,15,0,,
v_fight_00405_t0,7,0,12,0,,
v_fight_00406_t0,7,0,15,0,,
v_fight_00409_t0,7,0,12,0,,
v_fight_00435_t0,7,0,10,0,,
v_fight_00436_t0,7,0,10,0,,
v_fight_00438_t0,7,2,12,0,,
v_fight_00456_t0,0,0,13,0,,
v_fight_00458_t1,0,0,11,0,,
v_fight_00488_t1,5,1:45,2:00,170,,
v_fight_00494_t0,0,15,25,0,,
v_fight_00495_t0,7,0,15,0,,
v_fight_00498_t0,7,0,10,0,,
v_fight_00501_t0,0,0,9,0,,
v_fight_00502_t0,0,0,10,0,,
v_fight_00503_t1,5,0,15,130,,
v_fight_00507_t0,0,17,27,0,,
v_fight_00513_t0,2,17,27,20,,
v_fight_00515_t0,0,0,10,0,,
v_fight_00519_t0,0,0,10,0,,
v_fight_00573_t1,1,13,21,10,,
v_fight_00573_t1,2,1:27,1:35,90,,
v_fight_00579_t1,1,0,12,10,,
v_fight_00587_t1,1,0,15,10,,
v_fight_00596_t1,2,15,24,20,,
v_fight_00598_t1,0,19,32,0,,o
v_fight_00599_t0,0,2:31,2:42,0,,o
v_fight_00606_t0,0,1:26,1:45,0,,o
v_fight_00608_t0,0,22,36,0,,o
v_fight_00609_t1,0,0,10,0,,
v_fight_00615_t0,0,0,10,0,,o
v_fight_00620_t1,1,2,13,10,,
v_fight_00627_t1,1,9,21,10,,
v_fight_00634_t1,1,0,20,10,,
v_fight_00636_t1,2,39,52,20,,
v_fight_00636_t1,2,1:15,1:25,20,,
v_fight_00650_t0,0,0,11,0,o,
v_fight_00651_t1,1,0,14,10,o,
v_fight_00681_t0,0,1:13,1:26,0,,
v_fight_00699_t1,2,0,15,30,,
v_fight_00719_t1,0,0,12,0,,
v_fight_00725_t1,1,0,9,10,,
v_fight_00725_t1,1,2:00,2:20,10,,
v_fight_00727_t0,0,5,15,0,,
v_fight_00731_t1,1,0,15,10,,
v_fight_00733_t1,1,0,17,10,,
v_fight_00736_t1,1,26,33,10,o,
v_fight_00736_t1,1,1:40,1:50,10,o,
v_fight_00737_t1,1,0,21,70,,
v_fight_00737_t1,1,40,52,70,,
v_fight_00746_t1,1,50,1:10,10,,
v_fight_00748_t0,0,5,20,0,,
v_fight_00756_t0,0,0,10,0,,
v_fight_00757_t0,0,22,33,0,,
v_fight_00761_t0,0,13,23,0,,
v_fight_00763_t1,2,0,12,20,,
v_fight_00779_t1,2,0,15,20,,
v_fight_00782_t1,1,0,10,10,,
v_fight_00788_t1,1,4,18,10,,
v_fight_00818_t1,2,0,10,20,,
v_fight_00821_t0,7,0,12,0,,
v_fight_00829_t0,0,0,10,0,o,
v_fight_00848_t0,0,30,40,0,,
v_fight_00882_t1,2,2,4,20,,
v_fight_00910_t0,0,50,1:10,0,,
v_fight_00916_t0,0,13,23,0,,
v_fight_00925_t1,2,5,17,20,o,
v_fight_00933_t0,7,2,12,0,,
v_fight_00955_t1,2,0,15,20,,
v_fight_00966_t1,3,10,20,110,,
v_fight_00972_t0,0,12,22,0,,
v_fight_00973_t1,5,11,22,130,,
v_fight_00980_t1,1,0,15,10,,
v_fight_00984_t1,1,0,9,10,,
v_fight_00994_t0,0,53,1:03,0,o,
v_fight_01016_t0,7,0,11,0,,
v_fight_01018_t1,1,0,12,10,,
v_fight_01038_t1,1,0,10,10,,
v_fight_01067_t0,0,1:42,1:52,0,,
v_fight_01078_t0,0,0,10,0,,
v_fight_01089_t1,3,0,10,120,,
v_fight_01093_t0,0,9,20,0,,
v_fight_01107_t0,0,9,19,0,,
v_fight_01171_t1,1,15,35,10,,
v_fight_01171_t1,1,1:26,1:46,10,,
v_fight_01258_t1,6,5,20,150,,
v_fight_01299_t1,5,1:11,1:21,140,,
v_fight_01362_t1,1,0,13,10,,
v_fight_01392_t1,1,0,11,10,,
v_fight_01416_t0,7,12,21,0,,
v_fight_01428_t0,7,0,12,0,,
v_fight_01433_t1,5,0,18,70,,
v_fight_01434_t0,0,27,37,0,,
v_fight_01451_t1,2,0,20,30,,
v_fight_01458_t1,5,0,20,70,,
v_fight_01466_t1,1,0,21,10,,
v_fight_01499_t1,2,0,8,20,,
v_fight_01502_t1,2,0,20,30,,
v_fight_01513_t1,2,36,50,30,,
v_fight_01533_t0,7,0,10,0,,
v_fight_01577_t1,5,0,10,80,,
v_fight_01595_t0,7,0,11,0,,
v_fight_01609_t1,5,6,16,130,,
v_fight_01629_t0,0,46,56,0,,
v_fight_01635_t0,0,0,10,0,,
v_fight_01759_t0,0,12,20,0,,
v_fight_01801_t0,0,0,10,0,o,
v_fight_01803_t0,0,13,20,0,,
v_fight_01809_t0,2,16,32,20,,
v_fight_01841_t0,0,0,10,0,,
v_fight_01843_t1,2,0,15,20,,
v_fight_01851_t0,0,11,17,0,,
v_fight_01896_t0,0,0,10,0,,
v_fight_01900_t1,2,0,12,20,,
v_fight_01928_t0,0,0,10,0,,
v_fight_01945_t0,0,0,10,0,,
v_fight_02018_t0,0,0,10,0,,
v_fight_02018_t0,1,2:08,2:23,10,o,
v_fight_02025_t0,0,0,12,0,o,
v_fight_02090_t1,1,0,22,10,,
v_fight_02126_t1,1,0,15,10,,
v_fight_02132_t1,1,0,5,10,o,
v_fight_02171_t1,2,50,1:00,20,,
v_fight_02190_t0,0,0,5,0,,
v_fight_02199_t1,1,0,15,10,,
v_fight_02201_t0,0,0,10,0,,
v_fight_02202_t1,4,6,26,60,,
v_fight_02206_t0,0,0,10,0,,
v_fight_02208_t1,1,5:16,5:30,10,,
v_fight_02270_t1,1,12,22,10,,
v_fight_02273_t0,1,25,40,10,,
v_fight_02334_t1,2,2:09,2:29,30,,
v_fight_02340_t0,0,0,10,0,,
v_fight_02347_t1,2,0,21,30,,
v_fight_02357_t1,2,52,1:12,30,,
v_fight_02361_t0,0,0,10,0,,
v_fight_02401_t0,0,0,10,0,,
v_fight_02464_t1,1,7,21,10,,
v_fight_02471_t0,0,0,10,0,,
v_fight_02649_t1,4,0,15,60,,
v_fight_02651_t1,4,0,10,60,,
v_fight_02651_t1,5,14,30,70,,
v_fight_02794_t1,2,1,12,30,,
v_fight_02795_t1,1,50,1:10,10,,
v_fight_02796_t1,1,5,20,10,,
v_fight_02796_t1,1,30,40,10,,
v_fight_02797_t1,1,10,20,10,o,o
v_fight_02797_t1,6,30,45,200,o,o
v_fight_02797_t1,6,1:05,1:20,200,o,o
v_fight_02798_t1,5,4,15,30,,
v_fight_02798_t1,5,1:22,1:30,30,o,o
v_fight_02799_t1,2,5,15,30,,
v_fight_02799_t1,2,25,40,30,o,o
v_fight_02800_t1,2,5,20,20,,
v_fight_02800_t1,2,25,45,20,,
v_fight_02800_t1,2,1:25,1:37,20,,
v_fight_02800_t1,5,1:38,1:45,70,,
v_fight_02801_t1,5,14,24,70,,
v_fight_02802_t1,2,2,13,20,,
v_fight_02802_t1,2,30,45,80,,
v_fight_02803_t1,5,1,12,70,,
v_fight_02804_t1,2,2,15,20,,
v_fight_02804_t1,2,36,50,20,,
v_fight_02805_t1,2,5,20,30,,
v_fight_02805_t1,2,25,35,30,,
v_fight_02806_t1,2,22,32,20,,
v_fight_02806_t1,5,1:25,1:35,70,,
v_fight_02807_t1,2,30,45,30,,
v_fight_02808_t1,2,0,15,20,,
v_fight_02809_t1,5,0,15,70,,
v_fight_02810_t1,2,0,10,30,,
v_fight_02810_t1,5,10,20,70,,
v_fight_02811_t1,5,8,20,70,,
v_fight_02812_t1,2,20,35,20,,
v_fight_02813_t1,2,12,22,20,,
v_fight_02814_t1,2,3,14,20,,
v_fight_02815_t1,2,0,9,20,,
v_fight_02816_t1,2,0,15,30,,
v_fight_02817_t1,2,0,10,30,,
v_fight_02817_t1,2,24,34,30,,
v_fight_02818_t1,5,0,12,70,,
v_fight_02818_t1,5,16,26,70,,
v_fight_02819_t1,4,8,18,60,,
v_fight_02819_t1,5,19,31,70,,
v_fight_02820_t1,6,4,14,170,,
v_fight_02821_t1,3,0,20,60,,
v_fight_02821_t1,1,1:00,1:20,10,,
v_fight_02821_t1,6,2:20,2:33,110,,
v_fight_02822_t1,2,55,1:11,20,,
v_fight_02823_t1,1,1:30,1:50,10,,
v_fight_02824_t1,3,13,28,60,,
v_fight_02825_t1,1,2,12,10,,
v_fight_02826_t1,1,5,15,10,,
v_fight_02826_t1,2,40,1:00,70,,
v_fight_02827_t1,0,0,15,0,,
v_fight_02828_t1,1,5,20,10,,
v_fight_02829_t1,2,0,15,120,,
v_fight_02829_t1,1,1:26,1:40,10,,
v_fight_02830_t1,6,13,23,100,,
v_fight_02831_t1,5,30,45,120,,
v_fight_02832_t1,6,7,25,150,,
v_fight_02833_t1,1,0,20,10,,
v_fight_02834_t1,2,0,20,30,,
v_fight_02835_t1,2,0,10,30,,
v_fight_02836_t1,4,30,45,60,,
v_fight_02837_t1,2,8,18,30,,
v_fight_02838_t1,1,0,15,10,,
v_fight_02838_t1,2,24,35,30,,
v_fight_02838_t1,5,53,1:08,70,,
v_fight_02839_t1,4,0,10,60,,
v_fight_02840_t1,5,28,40,120,,
v_fight_02841_t1,5,6,20,120,,
v_fight_02842_t1,2,0,14,20,,
v_fight_02843_t1,1,5,20,10,,
v_fight_02844_t1,1,9,29,10,,
v_fight_02844_t1,1,30,45,10,,
v_fight_02844_t1,1,1:25,1:40,10,,
v_fight_02845_t1,5,0,15,80,,
v_fight_02846_t1,1,0,15,10,,
v_fight_02847_t1,1,8,20,10,,
v_fight_02848_t1,1,5,20,10,,
v_fight_02849_t1,1,1:50,2:10,10,,
v_fight_02850_t1,1,0,15,10,,
v_fight_02851_t1,1,1:00,1:15,10,,
v_fight_02852_t1,2,0,10,20,,
v_fight_02853_t1,5,13,25,80,,
v_fight_02855_t1,4,5,15,60,,
v_fight_02855_t1,1,25,35,10,,
v_fight_02856_t1,2,2,20,30,,
v_fight_02857_t1,1,0,15,10,,
v_fight_02858_t1,2,0,10,30,,
v_fight_02859_t1,6,0,10,210,o,
v_fight_02859_t1,6,20,30,210,o,
v_fight_02859_t1,6,12,25,200,o,
v_fight_02860_t1,2,0,12,20,o,
v_fight_02861_t1,5,5,15,70,,
v_fight_02862_t1,4,16,26,60,,
v_fight_02863_t1,6,0,10,100,,
v_fight_02864_t1,5,0,10,80,,
v_fight_02864_t1,5,25,35,80,,
v_fight_02865_t1,2,5,15,20,,
v_fight_02865_t1,2,16,25,20,,
v_fight_02866_t1,2,0,12,30,o,
v_fight_02867_t1,1,10,20,10,,
v_fight_02868_t1,1,26,36,10,,
v_fight_02869_t1,5,39,49,70,,
v_fight_02870_t1,1,6,16,10,,
v_fight_02871_t1,2,3,13,20,,
v_fight_02872_t1,2,5,15,30,,
v_fight_02872_t1,5,16,30,80,,
v_fight_02873_t1,1,2,12,10,,
v_fight_02874_t1,1,15,25,10,,
v_fight_02875_t1,2,9,19,20,,
v_fight_02876_t1,5,15,26,70,,
v_fight_02877_t1,2,5,15,30,,
v_fight_02878_t1,5,0,15,70,,
v_fight_02879_t1,1,0,11,10,,
v_fight_02880_t1,2,15,25,30,,
v_fight_02881_t1,1,0,9,10,,
v_fight_02882_t1,1,3,13,10,,
v_fight_02883_t1,2,5,14,30,,
v_fight_02884_t1,2,1,9,20,,
v_fight_02885_t1,5,2,12,170,,
v_fight_02886_t1,1,0,15,10,,
v_fight_02887_t1,1,0,13,10,,
v_fight_02888_t1,1,0,11,10,,
v_fight_02889_t1,5,3,15,60,,
v_fight_02890_t1,1,35,45,10,,
v_fight_02891_t1,1,1:52,2:05,10,,
v_fight_02892_t1,1,5,15,10,,
v_fight_02892_t1,2,15,30,30,,
v_fight_02893_t1,1,2:00,2:10,10,,
v_fight_02894_t1,1,40,55,10,,
v_fight_02895_t1,3,0,15,100,,
v_fight_02895_t1,3,15,30,100,,
v_fight_02896_t1,5,5,15,110,,
v_fight_02897_t1,4,12,20,60,,
v_fight_02898_t1,2,20,30,30,,
v_fight_02899_t1,1,0,10,10,,
v_fight_02900_t1,2,0,12,60,,
v_fight_02901_t1,2,0,12,20,,
v_fight_02902_t1,5,15,25,80,,
v_fight_02903_t1,5,0,10,110,,
v_fight_02904_t1,1,5,20,10,,
v_fight_02905_t1,3,4,20,60,,
v_fight_02906_t1,4,2,15,60,,
v_fight_02907_t1,0,0,10,0,,
v_fight_02908_t1,2,0,12,30,,
v_fight_02909_t1,0,0,6,0,,
v_fight_02910_t1,4,5,15,60,,
v_fight_02911_t1,0,0,10,0,,
v_fight_02912_t1,5,3,15,80,,
v_fight_02913_t1,0,0,10,0,,
v_fight_02914_t1,0,0,10,0,,
v_fight_02915_t1,1,5,18,10,,
v_fight_02916_t1,2,5,15,20,,
v_fight_02917_t1,4,0,12,60,,
v_fight_02918_t1,1,0,15,10,,
v_fight_02919_t1,1,15,25,10,,
v_fight_02920_t1,0,0,10,0,,
v_fight_02921_t1,0,0,10,0,,
v_fight_02922_t1,0,5,15,0,,
v_fight_02923_t1,1,5,17,10,,
v_fight_02924_t1,0,0,10,0,,
v_fight_02925_t1,1,0,10,10,,
v_fight_02926_t1,0,10,20,0,,
v_fight_02927_t1,2,0,10,20,,
v_fight_02928_t1,4,10,21,60,,
v_fight_02929_t1,1,3,15,10,,
v_fight_02930_t1,1,0,12,10,,
v_fight_02931_t1,2,0,9,30,,
v_fight_02932_t1,1,55,1:06,10,,
v_fight_02933_t1,4,0,15,60,,
v_fight_02933_t1,3,26,36,60,,
v_fight_02933_t1,5,55,1:06,80,,
v_fight_02934_t1,1,5,20,10,,
v_fight_02934_t1,1,1:15,1:25,10,,
v_fight_02935_t1,1,9,19,10,,
v_fight_02936_t1,5,18,28,110,,
v_fight_02937_t1,1,6,20,10,,
v_fight_02938_t1,1,10,21,10,,
v_fight_02939_t1,2,33,43,20,,
v_fight_02940_t1,3,0,13,100,,
v_fight_02941_t1,1,10,19,10,,
v_fight_02942_t1,0,0,10,0,,
v_fight_02943_t1,5,5,15,70,,
v_fight_02944_t1,0,0,10,0,,
v_fight_02945_t1,1,14,24,10,,
v_fight_02946_t1,5,3,14,110,,
v_fight_02947_t1,5,4,15,170,,
v_fight_02948_t1,0,0,10,0,,
v_fight_02949_t1,1,0,10,10,,
v_fight_02950_t1,2,0,12,30,,
v_fight_02951_t1,5,0,12,30,,
v_fight_02952_t1,1,0,10,10,,
v_fight_02952_t1,2,11,25,30,,
v_fight_02953_t1,1,0,14,10,,
v_fight_02954_t1,2,0,10,20,,
v_fight_02955_t1,1,0,15,10,,
v_fight_02956_t1,4,0,10,60,,
v_fight_02956_t1,5,15,35,120,,
v_fight_02957_t1,5,25,45,110,,
v_fight_02958_t1,5,39,55,80,,
v_fight_02959_t1,1,15,31,10,,
v_fight_02959_t1,2,31,41,20,,
v_fight_02960_t1,2,0,11,20,,
v_fight_02961_t1,3,20,31,100,,
v_fight_02962_t1,1,0,15,10,,
v_fight_02962_t1,1,20,31,10,,
v_fight_02963_t1,2,0,15,30,,
v_fight_02964_t1,2,0,10,20,,
v_fight_02965_t1,4,0,15,60,,
v_fight_02966_t1,5,5,20,110,,
v_fight_02967_t1,1,0,12,10,,
v_fight_02968_t1,0,0,10,0,,
v_fight_02969_t1,2,0,12,30,,
v_fight_02970_t1,1,0,12,10,,
v_fight_02971_t1,2,15,25,30,,
v_fight_02972_t1,6,10,25,150,,
v_fight_02973_t1,5,10,20,80,,
v_fight_02974_t1,2,6,20,70,,
v_fight_02975_t1,2,15,25,20,,
v_fight_02976_t1,6,0,15,150,,
v_fight_02977_t1,5,3,14,80,,
v_fight_02978_t1,6,0,12,250,,
v_fight_02979_t1,6,5,18,150,,
v_fight_02980_t1,2,3,14,30,,
v_fight_02981_t1,2,0,12,20,,
v_fight_02982_t1,3,0,20,60,,
v_fight_02983_t1,4,0,16,60,,
v_fight_02983_t1,5,55,1:05,80,,
v_fight_02984_t1,1,0,12,20,,
v_fight_02985_t1,5,2,15,120,,
v_fight_02986_t1,1,0,12,10,,
v_fight_02987_t1,1,2,15,10,,
v_fight_02988_t1,4,3,13,60,,
v_fight_02989_t1,2,50,1:05,30,,
v_fight_02990_t1,2,0,10,20,,
v_fight_02991_t1,2,12,26,30,,
v_fight_02992_t1,1,0,12,10,,
v_fight_02993_t1,2,0,10,20,,
v_fight_02994_t1,1,0,12,10,,
v_fight_02995_t1,2,0,10,20,,
v_fight_02996_t1,1,0,12,10,,
v_fight_02997_t1,2,0,14,20,,
v_fight_02998_t1,2,0,14,20,,
v_fight_02999_t1,1,0,12,10,,
v_fight_03000_t1,5,16,30,80,,
v_fight_03000_t1,5,1:05,1:16,80,,
v_fight_03001_t1,6,44,1:00,200,,
v_fight_03002_t1,1,4,15,10,,
v_fight_03003_t1,5,5,20,80,,
v_fight_03004_t1,6,3,15,210,,
v_fight_03005_t1,1,4,15,10,,
v_fight_03005_t1,2,16,30,20,,
v_fight_03006_t1,1,4,15,10,,
v_fight_03007_t1,0,0,10,0,,
v_fight_03008_t1,5,8,20,80,,
v_fight_03009_t1,0,30,40,0,,
v_fight_03010_t1,2,0,12,60,,
v_fight_03011_t1,1,0,11,10,,
v_fight_03012_t1,5,0,11,110,,
v_fight_03013_t1,2,55,1:05,20,,
v_fight_03014_t1,4,25,40,120,,
v_fight_03015_t1,1,4,15,10,,
v_fight_03016_t1,2,0,12,30,,
v_fight_03017_t1,0,0,10,0,,
v_fight_03018_t1,5,10,24,80,,
v_fight_03019_t1,5,10,30,70,,
v_fight_03020_t1,4,4,15,60,,
v_fight_03021_t1,5,0,10,70,,
v_fight_03022_t1,4,45,57,60,,
v_fight_03022_t1,4,1:11,1:24,60,,
v_fight_03023_t1,0,0,10,0,,
v_fight_03024_t1,0,0,10,0,,
v_fight_03025_t1,2,10,20,20,,
v_fight_03026_t1,2,0,10,90,,
v_fight_03027_t1,2,8,20,20,,
v_fight_03028_t1,2,0,12,20,,
v_fight_03029_t1,1,0,13,10,,
v_fight_03030_t1,4,0,12,60,,
v_fight_03030_t1,5,29,39,70,,
v_fight_03031_t1,2,55,1:05,30,,
v_fight_03032_t1,2,0,11,20,,
v_fight_03033_t1,5,0,12,70,,
v_fight_03034_t1,5,10,22,70,,
v_fight_03035_t1,3,0,12,100,,
v_fight_03036_t1,0,0,10,0,,
v_fight_03037_t1,4,0,10,60,,
v_fight_03038_t1,2,0,12,20,,
v_fight_03039_t1,0,8,20,0,,
v_fight_03040_t1,1,10,20,10,,
v_fight_03041_t1,2,0,12,130,,
v_fight_03042_t1,6,9,20,210,,
v_fight_03043_t1,5,39,49,70,,
v_fight_03044_t1,6,0,12,210,,
v_fight_03045_t1,6,4,15,210,,
v_fight_03046_t1,2,0,12,30,,
v_fight_03047_t1,4,0,12,60,,
v_fight_03048_t1,0,20,30,0,,
v_fight_03049_t1,4,10,20,10,,
v_fight_03050_t1,5,5,15,30,,
v_fight_03051_t1,5,20,30,80,,
v_fight_03052_t1,1,30,40,10,,
v_fight_03053_t1,1,40,50,10,,
v_fight_03054_t1,0,10,20,0,,
v_fight_03055_t1,2,33,40,20,,
